kode_desa,name,kecamatan,kabupaten,tech,l1_class,pop_2026,hh_2026,demand_kw,capex_usd,annual_kwh,annual_revenue_usd,annual_om_usd,annual_ncf_usd,npv_usd,irr,payback_yrs,lcoe_usd_kwh
81.01.01.1009,Hollo,Amahai,Maluku Tengah,solar_battery,intermittent,2058,590,155.76,970004.0,1255301.0,233824.0,21340.0,212484.0,1196165.0,0.2146,5.0,0.0928
81.01.01.2021,Nua Nea,Amahai,Maluku Tengah,solar_biomass_hybrid,intermittent,593,151,39.86,190085.0,321240.0,59837.0,4752.0,55085.0,371479.0,0.288,4.0,0.0728
81.01.06.2011,Roho,Seram Utara,Maluku Tengah,micro_hydro,dark_settled,598,151,39.86,434250.0,321240.0,59837.0,8685.0,51152.0,87220.0,0.1004,9.0,0.1596
81.01.06.2021,Rumahsokat,Seram Utara,Maluku Tengah,solar_battery,intermittent,724,198,52.27,325527.0,421254.0,78467.0,7162.0,71305.0,401394.0,0.2146,5.0,0.0928
81.01.06.2022,Sawai,Seram Utara,Maluku Tengah,micro_hydro,intermittent,4101,1066,281.42,3081444.0,2268020.0,422463.0,61629.0,360834.0,597077.0,0.0995,9.0,0.1604
81.01.06.2044,Besi,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,1035,274,72.34,283726.0,583003.0,108596.0,7093.0,101502.0,751040.0,0.3569,3.0,0.0599
81.01.06.2045,Malaku,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,1670,483,127.51,496001.0,1027629.0,191416.0,12400.0,179016.0,1328975.0,0.3601,3.0,0.0594
81.01.06.2052,Oping,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,208,59,15.58,60543.0,125562.0,23388.0,1514.0,21875.0,162460.0,0.3605,3.0,0.0594
81.01.09.2006,Pulau Hatta,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,795,239,63.1,261454.0,508536.0,94725.0,6536.0,88188.0,637581.0,0.3363,3.0,0.0633
81.01.09.2009,Pulau Ay,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,1695,521,137.54,541746.0,1108462.0,206473.0,13544.0,192929.0,1425068.0,0.3553,3.0,0.0602
