kode_desa,valid_obs,rad_median,lit_months,rad_cv,lit_fraction,built_m2,l1_class,name,kecamatan,kabupaten,lat,lon
81.01.01.1009,22,0.34990097577054574,17,0.7320114799406157,0.7727272727272727,38491.074509803926,intermittent,Hollo,Amahai,Maluku Tengah,-3.2444118552572268,129.08936575076467
81.01.01.2001,22,0.20946956534737526,5,0.5191858613447146,0.22727272727272727,172303.11372549017,intermittent,Tamilouw,Amahai,Maluku Tengah,-3.242390875686588,129.29818883159496
81.01.01.2002,22,0.2609035278553747,9,0.5785183271409217,0.4090909090909091,168229.0549019608,intermittent,Sepa,Amahai,Maluku Tengah,-3.2679486865785714,129.07712059657797
81.01.01.2003,22,0.27088710726887805,10,0.6075819647828333,0.45454545454545453,195646.25098039213,intermittent,Rutah,Amahai,Maluku Tengah,-3.3377374348567836,129.003906835248
81.01.01.2004,22,0.6487199375751405,14,0.8368404621934675,0.6363636363636364,152207.93333333335,intermittent,Soahuku,Amahai,Maluku Tengah,-3.3445689974609953,128.92758644794057
81.01.01.2005,22,0.48448444521151846,16,0.5459975276112783,0.7272727272727273,151018.99215686278,intermittent,Amahai,Amahai,Maluku Tengah,-3.3169480883435707,128.9792070818221
81.01.01.2006,22,1.0383803051282028,18,0.5672813790641527,0.8181818181818182,304171.8980392157,lit_stable,Haruru,Amahai,Maluku Tengah,-3.28682459866778,128.99178566582276
81.01.01.2007,22,0.8397440217325168,18,0.6134189754987741,0.8181818181818182,43495.17254901961,intermittent,Sehati,Amahai,Maluku Tengah,-3.274170179462147,128.97935262950037
81.01.01.2008,22,0.430539851044367,17,0.5342312347349261,0.7727272727272727,142672.49411764703,lit_stable,Makariki,Amahai,Maluku Tengah,-3.2565107135324336,129.00515866900275
81.01.01.2010,22,0.6977464783359582,19,0.4983243913320231,0.8636363636363636,15105.75294117647,lit_stable,Yafila,Amahai,Maluku Tengah,-3.2250575862706636,129.06456889547815
81.01.01.2011,22,0.4111049845314665,18,0.460664414661659,0.8181818181818182,36603.34901960784,lit_stable,Banda Baru,Amahai,Maluku Tengah,-3.2249964562291247,129.0871802896031
81.01.01.2020,22,0.20570981680945694,5,0.8001622554235607,0.22727272727272727,0.0,data_gap,Yainuelo,Amahai,Maluku Tengah,-3.34314129172377,129.0605271237242
