kode_desa,slope_deg,slope_deg_max,elev_m_mean,elev_m_max,rain_mm,catch_km2,wind50,feedstock,dist_grid_m,wdpa_overlap_frac,in_pa,treecover_pct_2000,forest_loss_pct,primary_forest_frac,high_forest,catch_eff,head_eff,Q_eff,hydro_kw,hydro_grade,tech,rationale,name,kecamatan,kabupaten,l1_class,esdm_hydro_dist_m,esdm_hydro_mw,esdm_hydro_class,esdm_hydro_desa,esdm_hydro_kab,esdm_offgrid_dist_m,esdm_offgrid_type,esdm_offgrid_kw,esdm_offgrid_desa,esdm_offgrid_year,esdm_substation_dist_m,esdm_substation_name,esdm_substation_mva,esdm_substation_kv,esdm_substation_status,esdm_powerplant_dist_m,esdm_powerplant_name,esdm_powerplant_mw,esdm_powerplant_type,esdm_powerplant_fuel,esdm_solar_zone,esdm_solar_kwh_m2,esdm_solar_pot_gwp,lat,lon
81.01.01.1009,2.1585659318629893,12.840074151538508,48.73414518323989,105.0,3474.6493990321737,371.7,0.9950831874757187,0.6223870904260556,6016.6052590933705,0.0,False,96.59274241148371,50.300108235757165,0.0,False,25.0,18.845958412216998,0.13772551207477857,12.73126728339089,marginal,solar_battery,uniform equatorial irradiance; no discriminating alternative,Hollo,Amahai,Maluku Tengah,intermittent,6296.6826200354935,0,Mikro Hidro Kelas A (PLTMH),Nuweletetu,Maluku Tengah,152794.70722373686,PLTMH,30.0,Tahalupu,2014,90238.51936126866,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,17283.795275471537,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.25099993,0.17429100000000003,-3.2444118552572268,129.08936575076467
81.01.01.2001,20.157544348559195,59.33737397841955,790.792645507353,1762.0,5905.665928931654,134.60999999999999,0.8745642683582586,0.9956898973400595,25177.28424592295,0.4309154291437345,True,99.74350949757518,37.60155316606931,0.0,False,25.0,60.0,0.2340842976650358,68.89100880282004,moderate,resource_present_but_screened,"43% of village inside a protected area - non-viable without deep community and regulator engagement; flagged for policy pathway, not commercial deployment",Tamilouw,Amahai,Maluku Tengah,intermittent,2601.5528970287396,0,Mikro Hidro Kelas A (PLTMH),Tamilouw,Maluku Tengah,175974.73146282494,PLTMH,30.0,Tahalupu,2014,112124.09224422797,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,25041.097579684192,PLTD Tehoru,1.7000000000000002,PLTD,HSD,True,2.78200006,0.11406200000000001,-3.242390875686588,129.29818883159496
81.01.01.2002,10.46175316907906,33.096883931335064,126.2263726650174,499.0,3912.402966305136,37.8,1.1260747917188518,0.886149139687671,1408.4018868916642,0.0,False,97.6929331795643,50.22709370338716,0.0,False,25.0,60.0,0.15507685527274925,45.6391185067701,moderate,grid_extension,1.4 km from a reliably-lit settlement,Sepa,Amahai,Maluku Tengah,intermittent,8734.62961886864,0,Mikro Hidro Kelas A (PLTMH),Nuweletetu,Maluku Tengah,151484.90523020033,PLTMH,30.0,Tahalupu,2014,88014.72423372493,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,15115.70800218184,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.33549976,0.177755,-3.2679486865785714,129.07712059657797
81.01.01.2003,11.663395285119382,46.815370653097006,191.87226991373623,446.0,4508.3122169287235,7.9799999999999995,1.3639089817389516,0.9310969125615384,1408.297331886985,0.0,False,97.89288343314168,55.147075147075164,0.0,False,7.9799999999999995,60.0,0.057040099396073074,16.786901252264308,marginal,grid_extension,1.4 km from a reliably-lit settlement,Rutah,Amahai,Maluku Tengah,intermittent,15005.10220291418,0,Mikro Hidro Kelas A (PLTMH),Layeni,Maluku Tengah,143796.34841555904,PLTMH,30.0,Tahalupu,2014,77778.44037632202,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,7303.830344500494,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.43949986,0.182019,-3.3377374348567836,129.003906835248
81.01.01.2004,2.052428229615737,12.257392280678484,9.401253794377721,35.0,3583.9964879632,5.46,,0.41850916496945023,0.0,0.0,False,49.67983706720977,89.62011771000536,0.0,False,5.46,17.91848005623001,0.03102584478735266,2.726865987049595,none,grid_extension,0.0 km from a reliably-lit settlement,Soahuku,Amahai,Maluku Tengah,intermittent,18701.66199874144,0,Mikro Hidro Kelas A (PLTMH),Layeni,Maluku Tengah,135424.6544373059,PLTMH,30.0,Tahalupu,2014,69499.38450171503,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,4734.256611265758,PLTD BGP Masohi,2.6,PLTD,HSD,True,4.472000120000001,0.18335199000000002,-3.3445689974609953,128.92758644794057
81.01.01.2005,6.263780517808497,26.646043966443052,173.49942203400337,387.0,4204.3315751623395,4.83,1.3639089817389516,0.8064749256809525,0.0,0.0,False,89.85086411656458,53.38185256503164,0.0,False,4.83,54.880609142986344,0.032196412842519825,8.66693266392621,none,grid_extension,0.0 km from a reliably-lit settlement,Amahai,Amahai,Maluku Tengah,intermittent,13367.57109345973,0,Mikro Hidro Kelas A (PLTMH),Layeni,Maluku Tengah,140887.20479723788,PLTMH,30.0,Tahalupu,2014,75927.25971206122,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,3847.648981814383,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.40700006,0.18068700000000001,-3.3169480883435707,128.9792070818221
81.01.01.2007,1.6795112182894656,6.6122172297722095,10.360830313824234,28.0,3924.5475823521615,29.189999999999998,1.3639089817389516,0.6697450828746038,497.9269995441099,0.0,False,91.5180737506065,94.9733527131783,0.0,False,25.0,14.660699610726587,0.15555823433346658,11.186306435863736,marginal,grid_extension,0.5 km from a reliably-lit settlement,Sehati,Amahai,Maluku Tengah,intermittent,9021.475935789707,0,Mikro Hidro Kelas A (PLTMH),Layeni,Maluku Tengah,140658.04787895636,PLTMH,30.0,Tahalupu,2014,77693.1496583755,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,5083.633795304601,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.329,0.177489,-3.274170179462147,128.97935262950037
81.01.01.2021,21.337504904975386,60.47488764105568,209.1709347557544,756.0,2435.1645045356927,9.03,1.3732418511459128,0.9550797876524482,8865.415284794899,0.03640546108136123,False,73.35965781667603,39.841085345172566,0.0,False,9.03,60.0,0.0348641797881109,10.260528111641037,marginal,solar_biomass_hybrid,96% cropland/tree cover - sago/coconut residue,Nua Nea,Amahai,Maluku Tengah,intermittent,156155.73082272947,0,Mikro Hidro Kelas A (PLTMH),Wanuwui,Maluku Barat Daya,204598.82483750107,PLTS Terpusat,15.0,Wunlah,2012,339328.6501852167,GI 150 kV Sirimau,0.0,150 kV,Operasi,154918.27023275977,PLTD Tepa,1.1,PLTD,HSD,False,,,-6.480076798264099,129.46185936945267
81.01.01.2022,6.887506545380284,20.70286184898827,86.61110934093196,152.0,3979.8170408356896,11.549999999999999,1.3639089817389516,0.8978194897156345,3520.875579135111,0.0,False,97.77674251523895,72.24981604120677,0.0,False,11.549999999999999,60.0,0.07288002096279207,21.44859016934971,marginal,grid_extension,3.5 km from a reliably-lit settlement,Hatuhenu,Amahai,Maluku Tengah,intermittent,8627.11815872073,0,Mikro Hidro Kelas A (PLTMH),Layeni,Maluku Tengah,146942.66195435092,PLTMH,30.0,Tahalupu,2014,83268.5932256478,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,10349.879122600589,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,4.33549976,0.177755,-3.2795988490384573,129.03580491773963
81.01.01.2023,14.820918773771632,67.21999360548335,421.7381968604557,1436.0,4659.304052634092,871.7099999999999,0.9209323493001931,0.9849142396661633,1795.3286520161148,0.21805176306627908,True,99.6253545351735,71.94232183145452,0.0,False,25.0,60.0,0.184681952872673,54.35189873042767,moderate,resource_present_but_screened,"22% of village inside a protected area - non-viable without deep community and regulator engagement; flagged for policy pathway, not commercial deployment",Nuweletetu,Amahai,Maluku Tengah,intermittent,2965.6766743060634,0,Mini Hidro (PLTM),Nuweletetu,Maluku Tengah,157085.55730081626,PLTMH,30.0,Tahalupu,2014,96708.29588341358,GI 150 kV PLTMG Ambon Peaker,0.0,150 kV,Operasi,24132.617252184016,PLTMG Seram Unit 2,11.918,PLTMG,Gas,True,3.84150004,0.157502,-3.185706745893658,129.12737717346303
