n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,tech_mix_str
3,Buru,Air Buaya,1,0.7969,micro_hydro,1,2,retrofit,0.167,5279,1331,351.4,780.8,2924769,6083520,4504145,blended_finance,micro_hydro:3
1,Buru,Batabual,2,1.0,solar_biomass_hybrid,0,1,retrofit,0.273,2241,564,148.9,595.6,1775781,3231922,2503852,public_good,solar_biomass_hybrid:1
9,Buru,Fena Leisela,3,0.8405,micro_hydro,1,8,retrofit,0.182,6128,1764,465.7,1075.3,3747470,7730339,5738905,blended_finance,micro_hydro:8; solar_biomass_hybrid:1
1,Buru,Teluk Kaiely,4,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1168,320,84.5,337.9,872877,1588635,1230756,public_good,solar_biomass_hybrid:1
7,Buru,Waplau,5,0.7629,solar_biomass_hybrid,0,7,retrofit,0.266,8590,2340,617.8,2538.7,6644892,12052323,9348609,blended_finance,solar_biomass_hybrid:6; solar_battery:1
1,Buru Selatan,Ambalau,6,1.0,solar_biomass_hybrid,0,1,retrofit,0.455,1359,353,93.2,372.8,1022738,1861383,1442060,public_good,solar_biomass_hybrid:1
10,Buru Selatan,Fena Fafan,7,0.9057,micro_hydro,0,10,retrofit,0.223,5045,1116,294.6,654.7,2210095,4596999,3403546,blended_finance,micro_hydro:10
2,Buru Selatan,Kepala Madan,8,0.7252,solar_battery,0,2,retrofit,0.432,3985,1015,268.0,1488.7,2963382,5136529,4049955,public_good,solar_battery:2
5,Buru Selatan,Kepala Madan,9,0.8409,solar_biomass_hybrid,1,4,retrofit,0.182,4685,1110,293.0,1172.1,3375083,6142650,4758867,blended_finance,solar_biomass_hybrid:5
8,Buru Selatan,Kepala Madan,10,0.8333,micro_hydro,2,6,retrofit,0.187,6469,1592,420.3,934.0,3325165,6916344,5120756,blended_finance,micro_hydro:8
10,Buru Selatan,Leksula,11,0.8152,micro_hydro,1,9,retrofit,0.2,7803,1836,484.7,1173.7,3953641,8103954,6028796,blended_finance,micro_hydro:9; solar_battery:1
2,Buru Selatan,Leksula,12,0.8713,solar_biomass_hybrid,0,2,retrofit,0.432,2152,555,146.5,586.1,1683831,3064573,2374202,public_good,solar_biomass_hybrid:2
5,Buru Selatan,Leksula,13,0.7627,solar_biomass_hybrid,0,5,retrofit,0.264,2359,572,151.0,628.3,1592666,2884403,2238535,blended_finance,solar_biomass_hybrid:4; solar_battery:1
1,Buru Selatan,Leksula,14,1.0,micro_hydro,0,1,retrofit,0.5,3785,1005,265.3,589.6,2007331,4175249,3091290,public_good,micro_hydro:1
