kode_desa,name,kecamatan,kabupaten,l1_class,tech,pop_2017,hh_2017,pop_2026,hh_2026,growth_pct,density,lit_fraction,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,dist_grid_m,hydro_kw,wind50,feedstock,slope_deg
81.01.01.1009,Hollo,Amahai,Maluku Tengah,intermittent,solar_battery,1722,494,2058,590,2.0,155.0866616428033,0.7727272727272727,155.76000000000002,865.3,1622438.0,2812225.0,2217332.0,6016.6052590933705,12.73126728339089,0.9950831874757188,0.6223870904260556,2.1585659318629893
81.01.01.2021,Nua Nea,Amahai,Maluku Tengah,intermittent,solar_biomass_hybrid,496,126,593,151,2.0,19.19715118161217,0.1818181818181818,39.864,159.5,489167.0,890283.0,689725.0,8865.415284794899,10.260528111641037,1.3732418511459128,0.9550797876524482,21.337504904975383
81.01.06.2011,Roho,Seram Utara,Maluku Tengah,dark_settled,micro_hydro,531,134,598,151,1.3333333333333333,3.510213665179619,0.0909090909090909,39.864,88.6,282360.0,587310.0,434835.0,8107.23648103193,34.860913378501614,0.5240232646960642,0.995168095416565,6.981167107563547
81.01.06.2021,Rumahsokat,Seram Utara,Maluku Tengah,intermittent,solar_battery,674,184,724,198,0.8,8044.444444444444,0.5454545454545454,52.272000000000006,290.4,544500.0,943800.0,744150.0,,,,0.6227741330834116,2.775506588388668
81.01.06.2022,Sawai,Seram Utara,Maluku Tengah,intermittent,micro_hydro,3750,975,4101,1066,1.0,80.7919621749409,0.3636363636363636,281.424,625.4,2003374.0,4167018.0,3085196.0,23252.057744960985,43.27273271155816,0.509060538049246,0.9717472790452552,7.507135289928468
81.01.06.2044,Besi,Seram Utara,Maluku Tengah,intermittent,solar_biomass_hybrid,919,243,1035,274,1.3333333333333333,26.778783958602848,0.5909090909090909,72.336,289.3,729831.0,1328292.0,1029062.0,34520.7871660323,0.9173574633886394,0.53071703783062,0.7959120946672815,5.90990020288262
81.01.06.2045,Malaku,Seram Utara,Maluku Tengah,intermittent,solar_biomass_hybrid,1482,429,1670,483,1.3333333333333333,90.5639913232104,0.5,127.512,510.0,1275943.0,2322216.0,1799080.0,6474.452732663975,2.627273720688329,,0.9687507311418576,5.073933720139439
81.01.06.2052,Oping,Seram Utara,Maluku Tengah,intermittent,solar_biomass_hybrid,190,54,208,59,1.0,1.9348837209302325,0.5909090909090909,15.576000000000002,62.3,155750.0,283465.0,219608.0,32074.205888454977,0.2691376290069439,,0.7974011543566161,2.318790701262029
81.01.09.2006,Pulau Hatta,Banda,Maluku Tengah,intermittent,solar_biomass_hybrid,685,206,795,239,1.6666666666666667,202.8061224489796,0.1818181818181818,63.096,252.4,672686.0,1224288.0,948487.0,15359.586813900623,0.70308595952042,,0.944932111243412,11.606327082027684
81.01.09.2009,Pulau Ay,Banda,Maluku Tengah,intermittent,solar_biomass_hybrid,1550,476,1695,521,1.0,498.5294117647059,0.3636363636363636,137.544,550.2,1393811.0,2536736.0,1965274.0,12936.702871578214,0.4656851904074486,,0.9273957158962796,6.331242510348301
81.01.09.2010,Pulau Rhun,Banda,Maluku Tengah,intermittent,solar_biomass_hybrid,1578,491,1726,537,1.0,476.7955801104972,0.6818181818181818,141.768,567.1,1530640.0,2785764.0,2158202.0,22936.427554969738,0.5051550840844115,,0.9321336268785296,12.9625993969778
81.01.09.2016,Uring Tutra,Banda,Maluku Tengah,intermittent,solar_biomass_hybrid,349,100,430,123,2.3333333333333335,179.16666666666669,0.4545454545454545,32.472,129.9,361610.0,658131.0,509870.0,5289.081433127118,0.7078844930907028,,0.953590954274354,15.67519971401178
81.01.11.2020,Salamahu,Tehoru,Maluku Tengah,intermittent,micro_hydro,444,131,515,152,1.6666666666666667,13.114336643748407,0.2272727272727272,40.128,89.2,321935.0,669624.0,495780.0,35543.17810776071,61.02499144454977,1.7587817494009723,0.9941156316830932,17.746122824158736
81.01.12.2006,Kulur,Saparua,Maluku Tengah,intermittent,solar_biomass_hybrid,1094,340,1196,372,1.0,39.615766810202054,0.3181818181818182,98.20800000000001,392.8,985870.0,1794284.0,1390077.0,6698.056082271183,5.654292177636267,,0.7990904381907292,5.39412111507283
81.01.13.2001,Aboru,Pulau Haruku,Maluku Tengah,intermittent,solar_biomass_hybrid,2024,674,2214,737,1.0,71.35030615533354,0.4545454545454545,194.568,778.3,2035750.0,3705065.0,2870408.0,5676.39934564597,11.477119496702038,,0.9795970017238153,9.625457273001077
81.01.13.2002,Wassu,Pulau Haruku,Maluku Tengah,intermittent,solar_biomass_hybrid,769,231,841,253,1.0,76.52411282984531,0.3636363636363636,66.792,267.2,754207.0,1372657.0,1063432.0,6056.630545319732,4.297137184296522,,0.9904168236462648,16.452627019039834
81.01.13.2005,Sameth,Pulau Haruku,Maluku Tengah,intermittent,solar_biomass_hybrid,574,178,628,195,1.0,248.2213438735178,0.3636363636363636,51.480000000000004,205.9,529970.0,964545.0,747258.0,5994.81681069155,1.2162335350717932,,0.934650827405832,7.956779665589033
81.01.13.2011,Hulaliu,Pulau Haruku,Maluku Tengah,intermittent,solar_biomass_hybrid,1706,564,1866,617,1.0,80.1890846583584,0.2272727272727272,162.88800000000003,651.6,1652680.0,3007877.0,2330278.0,5125.736361733795,10.563846137900956,,0.9678690266145415,6.453644068592645
81.01.15.2006,Asilulu,Leihitu,Maluku Tengah,intermittent,wind_solar_hybrid,5714,1568,6249,1715,1.0,376.2191450933173,0.5454545454545454,452.76,2058.0,6278595.0,13059478.0,9669036.0,7350.197301773606,14.034658255075346,5.233645165275681,0.9780123311068204,21.016473858133327
81.01.15.2007,Ureng,Leihitu,Maluku Tengah,intermittent,wind_solar_hybrid,4594,1233,5024,1349,1.0,332.2751322751323,0.5454545454545454,356.136,1618.8,4992299.0,10383982.0,7688140.0,7075.36046784897,15.563815620929224,5.233645165275681,0.9810484787143948,21.679011568569557
81.01.16.2002,Titawaai,Nusa Laut,Maluku Tengah,intermittent,solar_biomass_hybrid,1847,597,1984,641,0.8,332.8859060402685,0.5454545454545454,169.224,676.9,1834634.0,3339033.0,2586834.0,11460.776001759215,3.8719421206900417,,0.9115792826296708,13.413873077877444
81.01.16.2003,Abubu,Nusa Laut,Maluku Tengah,intermittent,solar_biomass_hybrid,735,243,790,261,0.8,209.54907161803715,0.3636363636363636,68.90400000000001,275.6,733994.0,1335870.0,1034932.0,11968.566326266902,4.302157911877824,,0.7752866404777876,11.530402800540696
