n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_om,npv_usd,irr_mean,payback_mean,lcoe_mean,tariff_avg,per_connection,tech_mix_str,co2_avoided_t,annual_gen_kwh,annualised_capex,annual_cost,socec_benefit_yr,co2_avoided_25yr
3,Buru,Air Buaya,1,0.7969,micro_hydro,1,2,retrofit,0.167,5279,1331,351.4,351.3,1315919,2737113,2026516,blended_finance,4799737,2831841,95996,-2278532,-0.0163,,0.2004,0.1081,3606,micro_hydro:3,2480.692716,2831841.0,488643.2274452583,584639.2274452583,2005312.550137236,62017.3179
1,Buru,Batabual,2,1.0,solar_biomass_hybrid,0,1,retrofit,0.273,2241,564,148.9,148.9,443945,807981,625963,public_good,758696,1200015,16881,1638916,0.3499,3.0,0.0761,0.194,1345,solar_biomass_hybrid:1,974.41218,1200015.0,77239.99504343836,94120.99504343836,322835.0129989936,24360.304500000002
9,Buru,Fena Leisela,3,0.8405,micro_hydro,1,8,retrofit,0.182,6128,1764,465.7,465.6,1636365,3387539,2511953,blended_finance,5848351,3753008,117204,-2239264,0.0349,3.0,0.1786,0.1176,3315,micro_hydro:8; solar_biomass_hybrid:1,3275.926592,3753008.0,595398.6870265399,712602.6870265399,2444227.216501032,81898.1648
1,Buru,Teluk Kaiely,4,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1168,320,84.5,84.5,218284,397276,307780,public_good,372966,680841,8298,1000385,0.4106,3.0,0.0659,0.194,1165,solar_biomass_hybrid:1,552.842892,680841.0,37970.270030909654,46268.270030909654,158700.16620602013,13821.0723
7,Buru,Waplau,5,0.7629,solar_biomass_hybrid,0,7,retrofit,0.266,8590,2340,617.8,617.8,1627956,2955425,2291690,blended_finance,2940421,4978652,65196,7008045,0.3694,3.1,0.0738,0.1912,1256,solar_biomass_hybrid:6; solar_battery:1,4064.080023,4978652.0,299353.2369560694,364549.2369560694,1250403.8827593182,101602.000575
1,Buru Selatan,Ambalau,6,1.0,solar_biomass_hybrid,0,1,retrofit,0.455,1359,353,93.2,93.2,255684,465346,360515,public_good,436935,751037,9722,1072222,0.3842,3.0,0.07,0.194,1237,solar_biomass_hybrid:1,609.842044,751037.0,44482.71407033217,54204.71407033217,185922.16926123935,15246.0511
10,Buru Selatan,Fena Fafan,7,0.9057,micro_hydro,0,10,retrofit,0.223,5045,1116,294.6,294.7,994831,2069250,1532040,blended_finance,3626783,2374401,72538,-1431767,0.0018,19.0,0.1805,0.1081,3249,micro_hydro:10,2079.975276,2374401.0,369229.1786744974,441767.1786744974,1515261.4228535262,51999.3819
2,Buru Selatan,Kepala Madan,8,0.7252,solar_battery,0,2,retrofit,0.432,3985,1015,268.0,267.9,533278,924348,728814,public_good,1894359,2159543,40729,2018625,0.2308,4.5,0.1048,0.1743,1866,solar_battery:2,1885.281039,2159543.0,192857.58692611117,233586.58692611117,801201.9931565613,47132.025975
5,Buru Selatan,Kepala Madan,9,0.8409,solar_biomass_hybrid,1,4,retrofit,0.182,4685,1110,293.0,293.1,843988,1536059,1190024,blended_finance,1442108,2361588,32087,3287873,0.372,3.0,0.0723,0.194,1299,solar_biomass_hybrid:5,1917.6094560000001,2361588.0,146815.60832283655,178902.60832283655,613635.9465473294,47940.2364
8,Buru Selatan,Kepala Madan,10,0.8333,micro_hydro,2,6,retrofit,0.187,6469,1592,420.3,420.2,1495970,3111615,2303792,blended_finance,5456273,3387202,109124,-2382572,-0.0075,20.0,0.1905,0.1081,3427,micro_hydro:8,2967.188952,3387202.0,555482.6959357194,664606.6959357194,2279600.9670595177,74179.72379999999
10,Buru Selatan,Leksula,11,0.8152,micro_hydro,1,9,retrofit,0.2,7803,1836,484.7,484.8,1686690,3486805,2586748,blended_finance,6143247,3906375,123196,-2391526,0.014,12.0,0.183,0.1147,3345,micro_hydro:9; solar_battery:1,3421.2823829999998,3906375.0,625420.9430794647,748616.9430794647,2567756.114762564,85532.05957499999
2,Buru Selatan,Leksula,12,0.8713,solar_biomass_hybrid,0,2,retrofit,0.432,2152,555,146.5,146.5,420887,766014,593451,public_good,719406,1180834,16007,1646045,0.3659,3.0,0.0731,0.194,1296,solar_biomass_hybrid:2,958.837208,1180834.0,73240.02746056367,89247.02746056367,306117.3041897334,23970.930200000003
5,Buru Selatan,Leksula,13,0.7627,solar_biomass_hybrid,0,5,retrofit,0.264,2359,572,151.0,151.0,386573,700993,543783,blended_finance,715297,1217020,15838,1712153,0.3668,3.2,0.0744,0.1901,1250,solar_biomass_hybrid:4; solar_battery:1,995.879522,1217020.0,72821.70557718286,88659.70557718286,304102.79012973723,24896.98805
1,Buru Selatan,Leksula,14,1.0,micro_hydro,0,1,retrofit,0.5,3785,1005,265.3,265.3,903231,1878720,1390976,public_good,3293937,2138267,65879,-1322892,0.0004,20.0,0.1819,0.1081,3277,micro_hydro:1,1873.121892,2138267.0,335343.37541439285,401222.37541439285,1376192.7476713676,46828.0473
4,Buru Selatan,Namrole,15,0.8358,micro_hydro,3,1,new_build,0.136,6018,1448,382.3,382.2,1399623,2911214,2155419,blended_finance,5104764,3080871,102095,-2337981,-0.0115,,0.1949,0.1081,3525,micro_hydro:4,2698.842996,3080871.0,519696.88262218673,621791.8826221868,2132746.157394101,67471.07489999999
1,Buru Selatan,Namrole,16,1.0,solar_biomass_hybrid,0,1,retrofit,0.273,305,101,26.7,26.7,71870,130804,101337,public_good,122663,214858,2729,309610,0.3923,3.0,0.0687,0.194,1214,solar_biomass_hybrid:1,174.464696,214858.0,12487.860107359575,15216.860107359575,52193.830168243345,4361.6174
2,Buru Selatan,Waesama,17,0.8906,solar_biomass_hybrid,0,2,retrofit,0.25,2702,605,159.7,159.7,451560,821838,636700,public_good,771834,1287215,17173,1809529,0.3756,3.0,0.0716,0.194,1275,solar_biomass_hybrid:2,1045.21858,1287215.0,78577.52556275135,95750.52556275135,328424.30268023716,26130.4645
9,Buru Selatan,Waesama,18,0.8622,micro_hydro,8,1,new_build,0.131,15830,3887,1026.2,1026.1,3765753,7832765,5799260,blended_finance,13732948,8270191,274659,-6311978,-0.0119,20.0,0.1955,0.1081,3533,micro_hydro:9,7244.6873160000005,8270191.0,1398099.9444465197,1672758.9444465197,5737563.179451562,181117.1829
