kode_desa,name,kecamatan,kabupaten,tech,l1_class,pop_2026,hh_2026,demand_kw,annual_kwh,capex_usd,annual_om_usd,re_ef,net_ef,co2_avoided_t,bundle_id,lit_fraction
81.01.01.1009,Hollo,Amahai,Maluku Tengah,solar_battery,intermittent,2058,590,155.76,1255301.0,1037216.0,22300.0,27,873,1095.877773,68,0.7727272727272727
81.01.01.2021,Nua Nea,Amahai,Maluku Tengah,solar_biomass_hybrid,intermittent,593,151,39.86,321240.0,208943.0,4649.0,88,812,260.84688,69,0.1818181818181818
81.01.06.2011,Roho,Seram Utara,Maluku Tengah,micro_hydro,dark_settled,598,151,39.86,321240.0,463271.0,9265.0,24,876,281.40624,79,0.0909090909090909
81.01.06.2021,Rumahsokat,Seram Utara,Maluku Tengah,solar_battery,intermittent,724,198,52.27,421254.0,348083.0,7484.0,27,873,367.754742,78,0.5454545454545454
81.01.06.2022,Sawai,Seram Utara,Maluku Tengah,micro_hydro,intermittent,4101,1066,281.42,2268020.0,3287373.0,65747.0,24,876,1986.78552,80,0.3636363636363636
81.01.06.2044,Besi,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,1035,274,72.34,583003.0,311873.0,6939.0,88,812,473.398436,78,0.5909090909090909
81.01.06.2045,Malaku,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,1670,483,127.51,1027629.0,545208.0,12131.0,88,812,834.434748,78,0.5
81.01.06.2052,Oping,Seram Utara,Maluku Tengah,solar_biomass_hybrid,intermittent,208,59,15.58,125562.0,66550.0,1481.0,88,812,101.956344,78,0.5909090909090909
81.01.09.2006,Pulau Hatta,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,795,239,63.1,508536.0,287392.0,6394.0,88,812,412.931232,70,0.1818181818181818
81.01.09.2009,Pulau Ay,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,1695,521,137.54,1108462.0,595491.0,13250.0,88,812,900.071144,70,0.3636363636363636
81.01.09.2010,Pulau Rhun,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,1726,537,141.77,1142553.0,653946.0,14550.0,88,812,927.753036,71,0.6818181818181818
81.01.09.2016,Uring Tutra,Banda,Maluku Tengah,solar_biomass_hybrid,intermittent,430,123,32.47,261682.0,154487.0,3437.0,88,812,212.485784,70,0.4545454545454545
81.01.11.2020,Salamahu,Tehoru,Maluku Tengah,micro_hydro,intermittent,515,152,40.13,323416.0,528122.0,10562.0,24,876,283.312416,85,0.2272727272727272
